data,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
200001,   0.1506,  -0.3048,   0.7493,  -5.0564,  -2.9753,  -6.2221
200002,  27.0861,  15.4819,  13.0315,   1.5878,  -6.8604,  -4.2249
200003, -12.4738,  -3.8865,  -1.5149,   8.2935,  12.3566,  12.0737
200004, -14.7602,  -5.5999,  -4.5402,  -4.4995,   0.2640,   2.5102
200005,  -8.1142,  -5.3069,  -4.8406,  -3.7061,   2.6168,  -1.8459
200006,  17.5040,   8.9014,   8.6239,   5.1769,  -6.0384,  -5.6643
200007,  -7.2516,   1.3118,   2.1788,  -3.0574,   3.9491,   3.6383
200008,   8.6537,   5.3830,   6.5132,   7.6240,   7.9169,   8.4461
200009,  -7.3270,  -0.4970,  -0.5088,  -5.9900,   2.1672,  -0.5458
200010,  -8.4733,  -1.2479,  -1.6348,  -2.1109,  -0.1626,   2.3321
200011, -16.5069,  -4.3500,  -2.7461, -10.6508,  -2.7668,  -1.8878
200012,   2.7542,   8.9710,   8.4244,  -0.1049,   8.3814,   8.9812
200101,  12.7204,   5.2599,   6.5249,   3.5939,   1.2229,   0.0712
200102, -12.6481,  -0.6022,   0.5116, -11.2800,  -0.6024,   1.3042
200103,  -7.6965,  -0.9248,  -1.4198,  -8.0136,  -1.7011,  -1.3634
200104,  10.5324,   4.6503,   5.2315,   8.9333,   5.0709,   4.7939
200105,   3.9548,   4.6843,   6.1804,   0.4128,   2.1152,   4.5366
200106,   6.4820,   4.9476,   2.5812,  -2.0983,  -1.7280,  -0.2617
200107,  -9.0503,  -4.5494,  -0.9606,  -1.8126,  -0.9393,   1.2314
200108,  -7.1815,  -2.7435,  -1.2583,  -6.9369,  -3.8976,  -7.8516
200109, -17.1380, -13.2117, -13.9756,  -8.0837,  -9.8509,  -8.0414
200110,  11.4726,   5.0547,   4.4917,   3.3225,   0.6916,  -5.8945
200111,   8.7758,   7.5115,   8.9944,   7.9133,   6.8796,  11.7074
200112,   6.9190,   6.7459,   6.7074,   0.6194,   3.0168,   3.0266
200201,  -4.9535,   0.7340,   2.9890,  -0.9260,  -1.6576,  -2.2071
200202,  -8.0365,  -1.1028,  -0.9453,  -2.4804,   0.2578,  -4.5765
200203,   9.0076,   7.2935,  10.1984,   3.5504,   5.6983,   4.5632
200204,  -3.7220,   2.5961,   4.1387,  -7.1745,  -0.4543,  -7.1808
200205,  -6.5894,  -3.6941,  -2.4909,  -1.3568,   0.3111,  -2.0873
200206,  -7.1901,  -3.0252,  -2.3991,  -7.4793,  -5.9073, -12.0314
200207, -14.9767, -14.4367, -14.8469,  -6.3988,  -8.5597, -13.4105
200208,  -0.5684,   0.6334,  -0.7500,   0.0795,   1.2381,   5.3124
200209,  -8.5146,  -7.4909,  -6.9182, -10.8076, -10.0683,  -9.7666
200210,   7.0070,   4.2173,   0.3857,  10.0530,   4.4979,   5.7733
200211,  13.4481,   7.9829,   7.3512,   5.2015,   6.0108,   9.0625
200212,  -8.7853,  -4.3000,  -3.7598,  -6.2932,  -3.7348,  -6.8611
200301,  -2.2572,  -2.6290,  -1.3483,  -2.7379,  -2.1258,  -5.5188
200302,  -3.6854,  -2.2406,  -3.4319,  -1.3493,  -2.4958,  -4.4975
200303,   1.6692,   0.6171,   0.7811,   1.6845,   0.2839,  -1.5773
200304,  11.1126,   9.4187,   9.2410,   7.6290,   8.9061,  11.5645
200305,  13.2795,  10.9178,   9.9013,   5.0939,   7.0526,   7.8825
200306,   2.2049,   2.5270,   3.8823,   1.2615,   1.3763,   0.9548
200307,   8.0885,   5.9203,   6.8393,   1.8836,   2.3825,   0.8558
200308,   4.5285,   4.8651,   6.3412,   2.0678,   1.5564,   4.3128
200309,  -1.7014,  -1.8697,   0.7865,  -1.1103,  -0.4963,  -3.5688
200310,   8.3954,   8.0289,  10.5513,   5.0918,   7.3583,   6.4756
200311,   2.8299,   3.5879,   4.6817,   0.8451,   1.4828,   2.7007
200312,   1.0962,   2.5024,   3.3079,   4.2635,   4.7538,   6.8772
200401,   3.7782,   3.7907,   6.9874,   1.5888,   2.2716,   2.3102
200402,   0.5675,   0.9577,   0.1315,   1.2348,   2.0510,   2.6626
200403,   1.3027,   0.4220,   0.3661,  -1.9715,  -0.5836,  -0.6033
200404,  -3.4370,  -3.3711,  -6.0808,  -0.3238,  -3.4644,  -2.9154
200405,   1.1499,   1.1286,   0.5970,   1.3610,   1.0153,   1.1354
200406,   3.3261,   4.7962,   4.6284,   1.3393,   1.8282,   2.8079
200407,  -9.8608,  -5.2871,  -4.6617,  -4.5622,  -2.2689,  -1.5401
200408,  -2.4209,  -0.1728,  -0.9089,  -0.3856,   1.5865,   0.1560
200409,   5.7171,   4.9679,   3.5180,   0.8770,   1.6472,   2.5753
200410,   3.0379,   1.3365,   1.3743,   1.6969,   1.0173,   2.1093
200411,   8.2523,   8.7477,   9.3816,   3.6431,   4.9463,   6.0880
200412,   4.2905,   2.3915,   4.1994,   3.6859,   3.2255,   3.6269
200501,  -5.4722,  -3.1933,  -2.4429,  -2.9967,  -1.4753,  -2.1034
200502,   0.6445,   2.1987,   2.9166,   2.0311,   2.1776,   3.0519
200503,  -4.0635,  -2.2179,  -1.9678,  -1.3477,  -2.5715,  -0.2259
200504,  -6.3224,  -5.9746,  -6.1393,  -1.7764,  -2.0842,  -2.6499
200505,   7.3888,   6.2590,   5.6819,   3.7845,   3.0232,   3.8756
200506,   2.7463,   4.1548,   4.5467,  -0.7868,   1.7006,   2.6763
200507,   6.7697,   6.8228,   6.3559,   4.5780,   2.6155,   3.9609
200508,  -2.1963,  -1.1180,  -1.2009,  -1.2991,  -0.6933,   0.2378
200509,   0.4245,   0.6867,   0.4986,   0.3526,   1.1945,   1.8106
200510,  -3.8246,  -2.5986,  -2.4446,  -1.1407,  -2.0117,  -2.0729
200511,   5.1955,   4.5092,   3.8682,   4.0780,   3.7652,   3.0167
200512,  -0.1088,  -0.3396,  -0.1633,  -0.7279,   1.2854,   0.2016
200601,   8.5626,   9.3734,   8.1587,   1.8218,   3.5420,   4.4780
200602,  -0.4396,  -0.3329,  -0.3326,  -0.1877,   0.9969,  -0.8039
200603,   4.2671,   5.0829,   5.6260,   1.6654,   1.1744,   1.5064
200604,  -0.6539,   0.9675,   1.2096,  -0.0677,   2.3258,   3.2790
200605,  -7.7397,  -4.8024,  -3.9270,  -3.0400,  -2.5199,  -1.7717
